08366 Avda Mediterráneo 3100, Madrid
 3353 Avda Mediterráneo 5700, Madrid
 5150 c/ Provisional Politécnica de Vallecas Uno 4, Madrid
 2612 Avda Mediterráneo 7300, Madrid
07439 Avda Mediterráneo 9400, Madrid
07442 Ctra del Vertedero Municipal Valdemingómez 1, Madrid
07444 Ctra de Valencia, Rivas-Vaciamadrid
09180 Ctra de Valencia 2, Arganda del Rey
07446 Ctra de Valencia 22200, Arganda del Rey
09778 Ctra de Campo Real 8, Arganda del Rey
10626 Ctra de Campo Real 8, Arganda del Rey
07449 c/ Gran Vía 18, Arganda del Rey
07450 c/ Monte Potrero 26, Arganda del Rey
09779 Avda Cañal 10, Arganda del Rey
09781 Avda Cañal 25, Arganda del Rey
07451 Avda Madrid 51, Arganda del Rey
07452 Avda Madrid 35, Arganda del Rey
07453 Avda Madrid 7, Arganda del Rey
10633 Avda Ejército 67, Arganda del Rey
07454 Avda Ejército 40, Arganda del Rey
07455 Avda Ejército 1A, Arganda del Rey
